store_id,Sales,Year_open,Traffic_count,Food_away_3R,Food_away_5T,Pop_GE_18_3R,Pop_GE_18_5T,Pop_18_21_3R,Pop_18_21_5T,Pop_21_39_3R,Pop_21_39_5T,Pop_40_49_3R,Pop_40_49_5T,Pop_50_69_3R,Pop_50_69_5T,Pop_70_85_3R,Pop_70_85_5T,Likely_customers_1R,Likely_customers_5T,Competitor_A_index,Competitor_B_index,Competitor_C_index,Competitor_D_index,Bakeries_index_1R,Casual_dining_index_1R,Fast_food_index_1R,Low_grocery_index_1R,Mid_grocery_index_1R,Big_box_index_1R,Sandwich_shop_index_1R,Fast_food_8T,Big_box_1R,Pop_Associates_3R,Pop_Associates_5T,Pop_Bachelors_3R,Pop_Bachelors_5T,Pop_Doctorate_3R,Pop_Doctorate_5T,Pop_grades_9_12_3R,Pop_grades_9_12_5T,Pop_grad_school_3R,Pop_grad_school_5T,Pop_in_school_3R,Pop_in_school_5T,Pop_undergrads_3R,Pop_undergrads_5T,Pop_Masters_3R,Pop_Masters_5T,Pop_some_college_3R,Pop_some_college_5T,Tot_HH_Expend_3R,Tot_HH_Expend_5T,Cust_value,Cust_value_per_cap,Cust_value_region,Cust_value_per_cap_region,HHinc_LT_25K_3R,HHinc_LT_25K_5T,HHinc_25_49K_3R,HHinc_25_49K_5T,HHinc_50_74K_3R,HHinc_50_74K_5T,HHinc_75_99K_3R,HHinc_75_99K_5T,HHinc_GE_100K_3R,HHinc_GE_100K_5T,Avg_HHinc_3R,Avg_HHinc_5T,Med_HHinc_3R,Med_HHinc_5T,HH_1person_3R,HH_1person_5T,HH_2person_3R,HH_2person_5T,HH_3person_3R,HH_3person_5T,HH_4person_3R,HH_4person_5T,HH_5person_3R,HH_5person_5T,HH_6person_3R,HH_6person_5T,Brady_Bunch_3R,Brady_Bunch_5T,med_home_value_3R,med_home_value_5T,med_home_value_adj_3R,med_home_value_adj_5T,per_cap_inc_3R,per_cap_inc_5T,labor_blue_3R,labor_blue_5T,labor_farm_3R,labor_farm_5T,labor_white_col_3R,labor_white_col_5T,avg_LOR_3R,Pop_married_3R,Pop_married_5T,Distance_hwy,Distance_hwy_interstate,Distance_interstate,restaurants_3R,retail_3R,restaurants_retail_3R,Asian_HH_3R,Asian_HH_5T,Asian_pop_3R,Asian_pop_5T,Black_HH_3R,Black_HH_5T,Black_pop_3R,Black_pop_5T,Hispanic_HH_3R,Hispanic_HH_5T,Hispanic_pop_3R,Hispanic_pop_5T,HV,south,central,west,HD,free_standing,strip_mall,Big_box_0_5R,Sandwich_shop_8T,All_malls_1R,high_density,Competitor_A_0_5R,Competitor_A_1R,Competitor_B_0_5R,Competitor_B_1R,Competitor_C_0_5R,Competitor_C_1R,Competitor_D_0_5R,Competitor_D_1R,Bakeries_0_5R,Bakeries_1R,Low_grocery_0_5R,Low_grocery_1R,Mid_grocery_0_5R,Mid_grocery_1R,Malls_300K_0_5R,Malls_300K_1R,Universities_0_5R,Universities_1R,Universities_3R,Universities_5T,Universities_8T
1,1925871.537,1974, ,3380.91,3369.07,103668,22362,4518,828,49847,11263,17424,3289,24304,4778,8882,2461,3720,7200,1.143987821,0,0,0,2.155028601,0,6.104030003,0,0,8.193125603,3.643977821,-45,888888,4000,1030,23755,6330,2692,645,4245,718,4273,1850,29340,6718,7736,2552,10474,2845,15614,3605,3351623127,780787206,676008.4084,27.20602449,2073794.019,70.46221808,13310,2915,14150,3391,10003,2595,6498,1603,13702,3057,82466,77841,53192,54612,21419,6059,17843,4607,7618,1485,5661,881,2789,312,1241,132,1093,85,264767,249917,341934.2048,322756.1239,35932,39869,13749,1382,14191,2692,44671,11458,9.62,48349,9363,0.637782298,0.637782298,2.383940215,391,995,1386,2960,1119,6496,2158,3483,420,7793,918,16400,2305,53650,6495,1,0,0,1,1,1,0,5,8,15,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0
2,1396578.433,1975,10960.95,2562.79,2485.1,82870,7025,30643,2226,42983,4415,5126,343,8514,482,4462,162,542,613,0.605443544,1.067532944,0,0,0.853831524,2.901924016,3.939609828,0,0,1.814807792,1.672976488,27,3,1838,145,7828,707,2304,293,1931,137,7500,1822,52405,5261,36077,2817,4775,598,7328,452,1688921698,127845609,230229.0655,21.35291905,935903.0885,73.24174266,18208,1710,8371,671,4816,369,2633,162,3674,153,45529,34952,26460,20792,12981,1116,12589,1074,6058,437,4217,312,1158,83,454,27,246,16,151822,157932,196071.0166,203961.796,19412,14838,7696,552,8003,563,28342,2747,7.56,20493,1566,0.029780586,0.029780586,36.06451588,198,410,608,3236,817,7781,1899,3750,232,9261,610,6715,402,21411,1245,1,0,0,1,1,1,0,0,4,4,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1
3,1014034.01,1976,31416.77,3310.23,3171.49,102580,32332,6217,1856,52260,16884,17004,5247,22898,7315,5820,1629,5775,10074,0.278079737,0,0,0,0,1.370974677,9.928057961,0,1.456794828,2.902942358,0.278079737,55,4,5415,1747,18963,5732,578,96,5813,1581,1580,375,33623,9967,8510,2501,5256,1411,20707,6226,2882251523,873926291,750602.8922,26.66995753,2349732.807,73.26215765,11559,4072,14753,5163,11255,3340,6820,2041,7502,1862,62707,56562,49230,44521,16446,5318,15980,5107,7794,2523,5503,1765,3141,925,1567,421,1461,417,160016,145982,206653.1846,188528.9295,24481,22427,14468,4260,19355,7105,41880,12594,8.81,40548,12649,0.531848746,0.531848746,0.538087176,227,454,681,1065,310,2612,720,3296,975,8366,2322,21579,7603,73400,24437,1,0,0,1,1,0,1,2,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1
4,718781.6178,1976,6225.45,3109.48,2816.87,67270,13937,4925,932,24690,5732,11509,2353,20830,4332,6641,854,2276,3739,0,0,0,0,0,1.086891957,1.390512014,0,0,1.562284101,0,41,6,3018,636,6561,1436,160,26,5790,1085,566,200,28799,5456,4889,978,3065,531,15386,3660,1812835172,395714137,363044.7386,21.73949392,903570.0282,55.49622048,10859,3400,10680,2850,5824,1140,3407,520,3506,466,51740,39949,38477,30285,9763,3159,9336,2245,5849,1416,4294,855,2640,407,1266,158,1129,135,99868,106662,128974.854,137748.9874,19103,17490,11401,2311,6979,1498,20168,4393,12.32,29160,4715,0.095394846,0.095394846,0.637066584,146,420,566,318,33,1039,82,21235,7072,51429,15699,7341,788,29777,2485,1,0,1,0,1,0,1,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5,428123.7888,1976,7751.59,3121.7,2929.48,90852,20429,5747,1163,31522,7351,15189,3272,26858,5743,12984,3216,3023,6337,0.329558757,0,0,0,0,0,6.707877945,0,1.249995,2.566186025,0.533721722,49,4,4426,1072,13399,2531,1335,328,6214,1262,1453,362,29180,6055,6925,1338,6029,1333,16313,3866,2495476319,546680929,697823.892,31.54434997,1916291.849,78.82899845,13162,3450,11663,2877,8505,2130,4366,942,8316,1363,72201,56687,45153,39632,15010,3682,13346,3170,6837,1553,5461,1228,3022,638,1323,278,1013,213,141313,133744,182499.1343,172724.1246,28348,23080,10681,2207,12497,2865,30494,7091,13.52,42011,8913,1.001934518,1.001934518,1.12041873,420,926,1346,546,135,1387,317,1201,364,2951,880,25595,6543,77075,18584,1,1,0,0,1,0,1,2,7,7,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
6,1467343.77,1976, ,3706.92,4026.04,32863,5114,3861,476,15392,2756,5114,942,7763,948,2390,189,2602,2119,0,0,0,0,0,0,0,0,0,0,0,14,0,1747,306,6724,1184,2490,292,1836,296,1552,225,17563,2730,6719,655,3784,592,4871,905,1040632650,172225705,220113.1397,44.66993895,538191.5815,96.24692781,3186,261,2889,479,3012,549,2463,557,4754,699,90972,85279,66812,74278,3189,404,5352,681,3411,598,2855,543,1058,211,310,77,129,32,194305,176696,250935.8253,228194.6249,33910,29019,2711,474,2696,477,15464,2642,7.04,17759,3053,0.496071667,0.496071667,36.19209074,59,115,174,1223,196,3792,628,895,121,2386,401,1682,284,5686,1067,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,711317.568,1977, ,3210.37,2854.77,81336,19038,6464,1536,32582,8820,10597,2347,22542,4460,11292,2405,4042,6021,1.126889975,0,0,0,0,5.099306337,9.057247722,0,0,5.443267479,1.992573712,46,11,4091,797,14619,2360,1754,243,4596,956,4024,1205,33909,8938,12274,3080,5469,904,18169,4338,2496816220,531938113,610851.8857,33.76836251,1666664.146,87.22681166,11001,3470,11105,3184,8536,2048,5216,918,8656,1231,74563,54267,50366,39476,14094,3782,15399,3492,6687,1619,4974,1116,2160,525,769,194,434,124,136251,99154,175961.7979,128052.7564,31941,23924,8789,2628,10606,2502,35393,7782,10.84,41951,8410,0.693806118,0.693806118,4.428768009,273,673,946,889,189,2360,443,1873,593,5044,1582,9191,3012,27905,8966,1,0,1,0,1,1,0,2,6,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
8,1389740.032,1977,17144.82,2279.24,2213.48,78899,15416,5258,1008,31195,6371,12271,2297,21822,4022,9920,2025,3556,3949,0.094644059,0,0,0,0,1.632702889,2.045953032,0,0,11.10665208,0.094644059,36,9,3783,805,7175,1184,145,35,4091,725,666,92,28546,5302,6555,1053,2086,380,16854,3581,1855644288,363749402,543950.8818,33.4654975,1638573.844,90.60060226,12307,2634,13187,2860,7854,1714,4059,708,4566,612,53598,46781,39864,37955,12644,2626,12354,2513,6339,1332,5269,1038,3023,566,1355,269,991,183,93604,88667,147649.7605,139862.1994,20697,18496,14363,2552,7919,1791,24438,4661,11.78,40838,7667,0.023812326,0.023812326,0.023812326,164,431,595,1295,170,4017,487,3174,864,7638,2150,10741,1924,39775,6986,1,0,0,1,1,1,0,9,2,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
9,605721.4713,1977,12707.31,3255.09,3171.9,85375,17317,7721,1025,31757,5648,12962,2640,24146,5239,10815,3058,3760,5881,0,0,0,0,0,0,3.959116946,1.249995,1.620743044,1.425818821,0,23,2,4756,980,13620,3049,868,183,5896,1066,2782,344,32584,5972,9930,1460,5811,1127,17792,4606,2464152983,535667967,546217.1356,39.50311698,1448365.094,84.13486596,11482,2290,11392,2603,7802,1861,4746,1136,8446,1756,69022,68002,47551,49102,13150,3046,14569,3397,6907,1467,5165,1050,2458,457,966,151,652,80,143982,146182,185946.023,188787.2202,27732,29547,10522,1660,9653,1985,37221,7666,10.84,40718,8636,0.774372858,0.774372858,2.685870512,229,624,853,2494,192,6868,544,7499,1175,18780,2964,7187,1047,25560,3465,1,0,0,0,1,0,1,1,1,16,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,1
10,744318.7296,1977,6778.31,2541.24,2397.31,54278,14102,3405,972,21991,6947,7618,1751,15859,3492,6459,1303,4077,4957,0,0,0,0.576868156,0,0,4.771696315,0,0,3.922237199,0.999649573,25,8,3818,1264,10149,2262,652,167,3385,628,1001,324,20308,5526,5600,1757,3879,711,12022,3145,1537366030,398345057,443161.184,32.01242523,891304.2587,63.37308104,7325,2298,8519,2708,6119,1708,3062,787,5438,1055,69076,55181,47638,42272,10331,3454,9650,2564,4345,1129,3353,787,1679,380,685,157,420,85,137022,115465,191492.7312,161366.1179,28983,25274,7152,1753,5815,1962,20553,5316,10.68,27891,6302,0.003199942,0.003199942,0.003199942,172,357,529,1846,585,5941,1674,4303,1692,10634,3832,2798,761,9888,2336,1,0,1,0,1,1,0,0,4,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
